Unnamed: 0,weather_condition,lighting_condition,trafficway_type,roadway_surface_cond,road_defect,crash_hour,crash_day_of_week,crash_month,crash_hour_sin,crash_hour_cos,crash_day_sin,crash_day_cos,crash_month_sin,crash_month_cos,crash_type,intersection_related_i
161714,1.0,1.0,3.0,1.0,1.0,10,6,6,1.5,0.1339745962155613,0.21816851753197009,1.6234898018587334,1.0000000000000002,0.0,1,1
118248,1.0,1.0,1.0,1.0,1.0,10,6,4,1.5,0.1339745962155613,0.21816851753197009,1.6234898018587334,1.8660254037844388,0.5000000000000002,1,1
176084,1.0,1.0,2.0,1.0,1.0,15,1,5,0.29289321881345287,0.2928932188134521,1.78183148246803,1.6234898018587336,1.5,0.1339745962155613,1,1
58538,1.0,2.0,3.0,1.0,1.0,23,6,12,0.7411809548974784,1.9659258262890682,0.21816851753197009,1.6234898018587334,0.9999999999999998,2.0,2,1
118047,1.0,3.0,2.0,1.0,1.0,22,1,4,0.49999999999999956,1.8660254037844384,1.78183148246803,1.6234898018587336,1.8660254037844388,0.5000000000000002,1,1
189503,3.0,1.0,1.0,3.0,1.0,10,2,11,1.5,0.1339745962155613,1.9749279121818235,0.7774790660436857,0.49999999999999956,1.8660254037844384,1,1
46917,1.0,1.0,2.0,1.0,1.0,13,6,11,0.7411809548974793,0.03407417371093169,0.21816851753197009,1.6234898018587334,0.49999999999999956,1.8660254037844384,1,1
48068,1.0,1.0,2.0,1.0,1.0,15,5,2,0.29289321881345287,0.2928932188134521,0.02507208781817638,0.7774790660436854,1.8660254037844386,1.5,2,1
130183,1.0,3.0,3.0,1.0,1.0,19,6,10,0.03407417371093158,1.2588190451025203,0.21816851753197009,1.6234898018587334,0.1339745962155614,1.5,2,1
179743,1.0,1.0,1.0,1.0,1.0,15,6,11,0.29289321881345287,0.2928932188134521,0.21816851753197009,1.6234898018587334,0.49999999999999956,1.8660254037844384,2,1
110505,1.0,1.0,1.0,1.0,1.0,15,6,3,0.29289321881345287,0.2928932188134521,0.21816851753197009,1.6234898018587334,2.0,1.0,2,1
77695,1.0,4.0,2.0,2.0,1.0,6,5,12,2.0,1.0,0.02507208781817638,0.7774790660436854,0.9999999999999998,2.0,2,0
160819,1.0,1.0,1.0,1.0,1.0,15,5,8,0.29289321881345287,0.2928932188134521,0.02507208781817638,0.7774790660436854,0.13397459621556151,0.49999999999999956,2,1
11484,1.0,1.0,1.0,1.0,1.0,16,7,6,0.13397459621556151,0.49999999999999956,0.9999999999999998,2.0,1.0000000000000002,0.0,1,1
101219,2.0,3.0,1.0,2.0,1.0,20,7,8,0.1339745962155614,1.5,0.9999999999999998,2.0,0.13397459621556151,0.49999999999999956,1,0
206935,2.0,3.0,3.0,2.0,1.0,22,7,12,0.49999999999999956,1.8660254037844384,0.9999999999999998,2.0,0.9999999999999998,2.0,1,1
96468,1.0,1.0,2.0,1.0,1.0,13,7,4,0.7411809548974793,0.03407417371093169,0.9999999999999998,2.0,1.8660254037844388,0.5000000000000002,1,1
107510,1.0,1.0,1.0,2.0,1.0,8,3,1,1.8660254037844388,0.5000000000000002,1.4338837391175583,0.09903113209758097,1.5,1.8660254037844388,1,1
109929,1.0,1.0,1.0,1.0,1.0,17,6,7,0.03407417371093169,0.7411809548974794,0.21816851753197009,1.6234898018587334,0.5000000000000002,0.13397459621556118,1,1
73486,1.0,3.0,1.0,1.0,1.0,21,6,12,0.2928932188134523,1.7071067811865475,0.21816851753197009,1.6234898018587334,0.9999999999999998,2.0,1,1
149272,1.0,1.0,2.0,1.0,1.0,8,3,2,1.8660254037844388,0.5000000000000002,1.4338837391175583,0.09903113209758097,1.8660254037844386,1.5,1,1
147967,1.0,1.0,2.0,1.0,1.0,13,2,12,0.7411809548974793,0.03407417371093169,1.9749279121818235,0.7774790660436857,0.9999999999999998,2.0,2,1
113434,1.0,3.0,4.0,1.0,1.0,19,7,2,0.03407417371093158,1.2588190451025203,0.9999999999999998,2.0,1.8660254037844386,1.5,2,1
196828,1.0,3.0,2.0,1.0,1.0,19,4,2,0.03407417371093158,1.2588190451025203,0.5661162608824419,0.09903113209758085,1.8660254037844386,1.5,2,1
92375,1.0,1.0,2.0,1.0,1.0,16,3,7,0.13397459621556151,0.49999999999999956,1.4338837391175583,0.09903113209758097,0.5000000000000002,0.13397459621556118,2,1
11456,2.0,3.0,1.0,2.0,1.0,19,6,11,0.03407417371093158,1.2588190451025203,0.21816851753197009,1.6234898018587334,0.49999999999999956,1.8660254037844384,2,1
149370,1.0,3.0,2.0,1.0,1.0,18,3,12,0.0,0.9999999999999998,1.4338837391175583,0.09903113209758097,0.9999999999999998,2.0,1,1
