Model,Parameters,R2,MSE,MAE,RMSE
Simple Exponential Smoothing,{'alpha': 0.1},-0.002780585452935691,0.28717651405582995,0.46194347910267713,0.5358885276396855
Holt Linear Trend,"{'alpha': 0.1, 'beta': 0.2}",0.012094903270651658,0.28291646848007007,0.46490244355466004,0.5318989269401379
Holt-Winters,"{'alpha': 0.8, 'beta': 0.5, 'gamma': 0.5, 'seasonal': 'add', 'period': 4}",0.5885566157772997,0.11782924253468614,0.28429481437107,0.3432626436632541
