Config,Model,MSE,MAE,R2,RMSE
Hourly_Mean,Persistence,0.045490766770759854,0.18308750845429478,-0.027982439615120036,0.21328564595574606
Hourly_Mean,LinearRegression,0.04432432530375992,0.17801983680777428,-0.0016236545245693623,0.21053343037095062
4Hourly_Mean,Persistence,0.14636835031046502,0.34371175030599754,-4.184744156646558,0.38258116826428484
4Hourly_Mean,LinearRegression,0.02832796294201938,0.13814577805444597,-0.003449448065782512,0.1683091291107508
Daily_Mean,Persistence,0.00014425489062680285,0.01010520487264668,-0.09590126811593858,0.01201061574719643
Daily_Mean,LinearRegression,0.00013808400940253275,0.008403438454310528,-0.04902121760475042,0.011750915258078103
