Scaling,Model,RMSE_train,RMSE_test,MAE_train,MAE_test,R2_train,R2_test
No Scaling (Baseline),Persistence,3.9082991469720203,4.070236848145327,3.1383111111111117,3.2616,-0.7457468223748791,-1.0703345085453977
No Scaling (Baseline),Linear Regression,2.956928321649666,2.9592615394038395,2.5594090053590266,2.506377868554632,0.0007198547095726981,-0.09437926832936294
StandardScaler (Z-Score),Persistence,1.323334316646222,1.3781657686571214,1.062619475498199,1.1043645956623638,-0.7457468223748793,-1.0703345085453977
StandardScaler (Z-Score),Linear Regression,1.001203995076412,1.0019940131907363,0.8666055590317435,0.848649430151899,0.0007198547095724761,-0.09437926832936316
"MinMaxScaler ([0,1])",Persistence,0.391221135833035,0.4074311159304631,0.31414525636747853,0.3264864864864865,-0.7457468223748789,-1.0703345085453986
"MinMaxScaler ([0,1])",Linear Regression,0.2959888209859525,0.2962223763167007,0.2561970976335362,0.2508886755309942,0.0007198547095725871,-0.09437926832936339
