Scaling,Model,RMSE_train,RMSE_test,MAE_train,MAE_test,R2_train,R2_test
No Scaling (Baseline),Persistence,4.787121612548958,4.038002806668993,4.110196078431374,3.3699999999999997,-1.5597861165231341,-1.115242041583651
No Scaling (Baseline),Linear Regression,2.988594110682568,2.8868259140000694,2.6568168574217017,2.68330060331825,0.0023260539875950004,-0.08110537630694048
StandardScaler (Z-Score),Persistence,1.609512475650633,1.357645871583662,1.3819184890277205,1.133051859122194,-1.5597861165231337,-1.115242041583651
StandardScaler (Z-Score),Linear Regression,1.0048166508221141,0.9706004358516042,0.8932674420322982,0.9021717320989463,0.0023260539875951114,-0.08110537630694048
"MinMaxScaler ([0,1])",Persistence,0.4850173872896614,0.40911882539706107,0.4164332399626518,0.34143870314083075,-1.5597861165231337,-1.115242041583651
"MinMaxScaler ([0,1])",Linear Regression,0.3027957558948904,0.29248489503546793,0.269181039252452,0.27186429618219354,0.0023260539875948893,-0.08110537630694026
