Smoothing,Model,RMSE_train,RMSE_test,MAE_train,MAE_test,R2_train,R2_test,MAPE_train,MAPE_test
No Smoothing,Persistence,4.787121612548958,4.038002806668993,4.110196078431374,3.3699999999999997,-1.5597861165231341,-1.115242041583651,185.05087873910767,90.31898511095218
No Smoothing,Linear Regression,2.988594110682568,2.8868259140000694,2.6568168574217017,2.68330060331825,0.0023260539875950004,-0.08110537630694048,130.42718746766917,57.04709039280927
SMA (w=3),Persistence,1.5014623227886248,4.045884969346655,1.1891503267973857,3.388888888888888,-0.13976986818774906,-1.1235079864936073,25.98568188544484,90.9074240171481
SMA (w=3),Linear Regression,1.404113297574872,2.850011294272677,1.1467515334338865,2.6825724484665656,0.003235415613511816,-0.05370732454060123,27.434518874655296,58.83219689181352
SMA (w=6),Persistence,1.556144875530021,4.059061935508781,1.0279411764705884,3.4180555555555556,-0.5228003535049355,-1.1373625370454654,19.746818424386483,91.8160429164212
SMA (w=6),Linear Regression,1.2577427340842837,2.876403555649774,0.9329817289208293,2.682698391151332,0.005221135837266022,-0.07331320036556743,17.79878680759869,57.515355344209965
EWMA (span=3),Persistence,1.8766895287219754,4.0219074040123655,1.6090238331202977,3.326766097492902,-0.5584387178546122,-1.0984130192674795,37.3677268250686,88.97213456555974
EWMA (span=3),Linear Regression,1.4933409129419366,2.8931238221512987,1.2436910504119003,2.683623366926112,0.013214419072036576,-0.08582760723300065,30.515764722535536,56.774301128628366
EWMA (span=6),Persistence,1.0483041585816673,4.054011247626981,0.8988736561999705,3.4071906887273946,-0.08201314574778773,-1.1320468089107987,19.271767590533393,91.47757354482741
EWMA (span=6),Linear Regression,0.9827308431107687,2.920782174855838,0.8035328719460253,2.684195612672698,0.04911697783120916,-0.10668793619502104,17.296602464207243,55.64360739287072
