Config,Model,MSE,MAE,R2,RMSE
Monthly,Persistence,0.29524492156905024,0.5105369807497468,-7.533851641563247,0.5433644463608658
Monthly,LinearRegression,0.05475593243492568,0.19747056311446012,-0.5826826128348228,0.23399985563013853
Quarterly_Mean,Persistence,0.07383549466263041,0.24898682877406283,-1.0741005067871998,0.27172687512027666
Quarterly_Mean,LinearRegression,0.05405880847261355,0.2189101034930147,-0.5185569293152958,0.23250550202654033
Quarterly_Median,Persistence,0.07383549466263041,0.24898682877406283,-1.0741005067871998,0.27172687512027666
Quarterly_Median,LinearRegression,0.05698162381378874,0.22397790115621932,-0.6006612452418885,0.23870823993693377
