Config,Model,MSE,MAE,R2,RMSE
Monthly,Persistence,0.04899893951083967,0.19428096251012916,-0.037121581754442357,0.22135704079798246
Monthly,LinearRegression,0.04819697871800621,0.18780191921602118,-0.020147115484932865,0.21953810311197966
Quarterly_Mean,Persistence,0.03514197289342511,0.13590707109225628,-0.0010572133999078304,0.18746192384968505
Quarterly_Mean,LinearRegression,0.03548993470577661,0.13620045881197007,-0.010969283029537147,0.18838772440309537
Quarterly_Median,Persistence,0.049428140185564295,0.1649983316649984,-0.092103928018612,0.22232440303656342
Quarterly_Median,LinearRegression,0.046439372176311854,0.16020918878061738,-0.02606775367365355,0.21549796327648169
