Airline,Cancelled,CRSDepTime,CRSElapsedTime,Distance,Quarter,Month,DayofMonth,DayOfWeek,OriginAirportID,OriginStateName,OriginWac,DestAirportID,DestStateName,DestWac,CRSArrTime,DistanceGroup
17,False,1015,63.0,134.0,2,6,1,3,11982,42,74,11298,42,74,1118,1
18,False,1335,265.0,1838.0,2,6,25,6,13232,11,41,14831,4,91,1600,8
3,False,1429,97.0,550.0,1,2,6,7,11298,42,74,15016,23,64,1606,3
9,False,1035,120.0,632.0,1,1,21,5,13930,11,41,10434,36,23,1335,3
1,False,1310,152.0,933.0,2,6,7,2,14679,4,91,14057,35,92,1542,4
16,False,1110,114.0,479.0,3,7,22,5,12953,30,22,11066,33,44,1304,2
8,False,1135,94.0,411.0,1,2,11,5,11193,15,52,11278,47,38,1309,2
16,False,855,246.0,1325.0,2,4,8,5,14100,36,23,12266,42,74,1201,6
10,False,1517,151.0,991.0,2,4,14,4,14057,35,92,11292,5,82,1848,4
17,False,1035,91.0,383.0,3,7,14,4,10781,16,72,11298,42,74,1206,2
7,False,1039,156.0,983.0,3,7,18,1,15304,7,33,11433,20,43,1315,4
14,True,1930,174.0,1035.0,3,7,24,7,12953,30,22,14027,7,33,2224,5
3,False,2022,82.0,413.0,3,7,24,7,13930,11,41,14122,36,23,2244,2
18,False,1430,80.0,289.0,1,3,3,4,14689,4,91,12889,26,85,1550,2
18,False,1915,205.0,1521.0,2,6,8,3,12889,26,85,13232,11,41,40,7
18,False,830,95.0,349.0,1,3,3,4,13232,11,41,13487,21,63,1005,2
3,False,1110,109.0,675.0,1,3,1,2,13495,16,72,13303,7,33,1359,3
1,False,2140,139.0,867.0,1,1,11,2,14747,48,93,12889,26,85,2359,4
20,False,830,139.0,770.0,2,4,19,2,15016,23,64,11292,5,82,949,4
7,False,2309,53.0,152.0,2,6,5,7,10397,8,34,15412,41,54,2,1
7,False,600,124.0,749.0,3,7,1,5,14576,30,22,10397,8,34,804,3
8,False,1225,106.0,457.0,1,2,8,2,10990,47,38,10397,8,34,1411,2
1,False,1245,225.0,1448.0,1,3,10,4,14747,48,93,10299,1,1,1530,6
2,False,640,143.0,948.0,3,7,31,7,10466,2,81,13486,24,84,1003,4
7,False,1647,117.0,594.0,1,2,19,6,13303,7,33,10397,8,34,1844,3
9,False,1211,108.0,528.0,1,1,31,1,13930,11,41,14576,30,22,1459,3
20,True,2005,367.0,2434.0,3,7,1,5,11618,28,21,14057,35,92,2312,10
5,False,2245,74.0,157.0,1,3,3,4,11057,31,36,13577,39,37,2359,1
7,False,2255,95.0,456.0,2,4,25,1,11433,20,43,14524,47,38,30,2
17,False,1529,119.0,574.0,2,4,28,4,14869,45,87,10800,4,91,1628,3
20,False,1104,162.0,967.0,1,3,18,5,14771,4,91,11292,5,82,1446,4
3,False,1438,61.0,157.0,2,6,30,4,13577,39,37,11057,31,36,1539,1
1,False,1945,232.0,1542.0,1,1,17,1,14057,35,92,10299,1,1,2237,7
18,False,2005,85.0,390.0,1,1,21,5,13891,4,91,14893,4,91,2130,2
18,False,1200,75.0,247.0,1,3,12,6,11259,42,74,14683,42,74,1315,1
