crash_date,traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month
155494,16,2,2,17,6,3,0,5,0,1,2,24,2,4,1.0,0.0,0.0,0.0,1.0,6.0,18,2,10
3433,16,2,3,10,8,3,0,1,0,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,5.0,1,2,1
5513,15,10,1,17,11,3,6,1,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,19,6,1
15552,16,2,3,0,6,3,0,1,0,1,2,26,2,2,0.0,0.0,0.0,0.0,0.0,2.0,11,5,2
158088,16,2,1,0,2,3,6,1,0,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,7,1,11
97729,15,7,3,17,8,3,6,1,0,0,2,18,2,2,0.0,0.0,0.0,0.0,0.0,3.0,18,6,7
53525,16,2,3,15,8,3,0,1,1,1,1,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,17,5,4
84018,16,2,3,17,10,3,0,1,1,1,2,23,2,2,0.0,0.0,0.0,0.0,0.0,2.0,18,5,6
151358,15,2,3,0,6,3,0,1,0,1,2,3,2,4,2.0,0.0,0.0,0.0,2.0,4.0,8,2,10
130746,16,2,3,10,2,3,0,1,1,1,1,36,2,2,0.0,0.0,0.0,0.0,0.0,4.0,15,4,9
105126,16,2,3,10,8,3,0,1,0,1,2,17,2,4,2.0,0.0,0.0,0.0,2.0,1.0,11,5,8
172736,15,2,1,17,10,3,0,1,1,1,2,24,2,2,0.0,0.0,0.0,0.0,0.0,3.0,19,6,12
183135,15,2,1,9,10,3,0,1,0,1,0,36,2,3,1.0,0.0,0.0,1.0,0.0,1.0,15,5,12
103602,16,2,3,17,8,3,0,1,0,1,1,18,2,4,1.0,0.0,0.0,0.0,1.0,2.0,14,6,7
95727,4,2,3,17,8,3,0,1,1,1,2,18,2,2,0.0,0.0,0.0,0.0,0.0,2.0,8,5,7
187594,4,2,3,17,8,3,6,1,1,1,1,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,10,6,12
45719,15,2,1,0,8,3,0,1,0,1,1,12,2,3,2.0,0.0,0.0,2.0,0.0,2.0,20,7,4
46364,16,2,3,9,8,3,0,1,0,1,0,18,2,3,1.0,0.0,0.0,1.0,0.0,1.0,12,3,4
134552,15,2,1,17,15,3,0,1,0,1,2,5,3,2,0.0,0.0,0.0,0.0,0.0,2.0,1,1,9
110627,16,2,3,10,2,3,0,1,0,1,2,19,3,2,0.0,0.0,0.0,0.0,0.0,3.0,15,6,8
97739,16,7,1,15,8,3,6,1,1,1,2,24,2,2,0.0,0.0,0.0,0.0,0.0,3.0,20,6,7
140176,15,3,3,0,6,3,0,1,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,5.0,15,3,10
110578,16,2,3,0,10,3,0,1,1,1,1,22,2,2,0.0,0.0,0.0,0.0,0.0,3.0,7,5,8
102509,16,2,4,5,8,3,0,3,1,1,2,32,1,2,0.0,0.0,0.0,0.0,0.0,1.0,21,2,7
44099,16,2,3,17,1,3,0,3,1,1,1,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,7,3,4
66148,16,3,3,0,8,3,6,1,1,1,2,6,2,2,0.0,0.0,0.0,0.0,0.0,2.0,10,2,5
185143,16,2,1,10,8,3,0,1,1,1,1,17,2,2,0.0,0.0,0.0,0.0,0.0,2.0,1,2,12
144543,15,2,4,9,8,3,0,1,0,1,0,18,2,4,1.0,0.0,0.0,0.0,1.0,1.0,18,7,10
