Config,Model,MSE,MAE,R2,RMSE
No_Diff,Persistence,0.04549076677075986,0.18308750845429478,-0.027982439615120036,0.21328564595574606
No_Diff,LinearRegression,0.044324325303759925,0.1780198368077743,-0.0016236545245693623,0.21053343037095065
First_Order,Persistence,0.021412719715879235,0.10298631704906093,-2.136348956316425e-05,0.1463308570188777
First_Order,LinearRegression,0.021413408866391315,0.10298395349356719,-5.354834248638696e-05,0.14633321176818104
Second_Order,Persistence,0.04200197120679942,0.16109333541439055,-0.003182548854767875,0.20494382451491291
Second_Order,LinearRegression,0.041868727201577235,0.16059928501886464,-1.2534135018782422e-07,0.204618491836826
