Config,Model,MSE,MAE,R2,RMSE
No_Diff,Persistence,0.07383549466263044,0.24898682877406286,-1.0741005067872007,0.27172687512027666
No_Diff,LinearRegression,0.05405880847261355,0.2189101034930147,-0.5185569293152958,0.23250550202654033
First_Order,Persistence,0.2539910939477647,0.4314420803782506,-1.4284533016645726,0.5039752910091572
First_Order,LinearRegression,0.10722475664377575,0.32130393528569823,-0.025194664287358393,0.3274519150100908
Second_Order,Persistence,0.28639050308519365,0.47028031070584264,-3.594408176210706e-05,0.5351546534275804
Second_Order,LinearRegression,0.2851502495249379,0.4815348822441021,0.004294849455976801,0.5339946156329087
