Config,Model,MSE,MAE,R2,RMSE
No_Diff,Persistence,0.035141972893425126,0.13590707109225628,-0.0010572133999078304,0.18746192384968507
No_Diff,LinearRegression,0.03548993470577661,0.1362004588119701,-0.010969283029536925,0.18838772440309537
First_Order,Persistence,0.042994728570205566,0.14679150049520417,-0.16769609665269658,0.20735170259779775
First_Order,LinearRegression,0.0411307088816339,0.14682634785700732,-0.11707108780132658,0.20280707305622725
Second_Order,Persistence,0.07284575548539342,0.2361996074959037,-0.15398817555061028,0.26989952850161375
Second_Order,LinearRegression,0.06602042979253778,0.22187368301786284,-0.045864578075991425,0.25694440992661777
