Smoothing,Model,RMSE_train,RMSE_test,MAE_train,MAE_test,R2_train,R2_test
No Smoothing,Persistence,3.1012220702277804,1.8541666666666856,2.4191468253968145,1.8541666666666856,-0.7243025929805582,
No Smoothing,Linear Regression,2.3062677180295057,0.613591269841244,1.8439929543245763,0.613591269841244,0.046397920918181734,
SMA (w=3),Persistence,1.7210597305664286,0.4836309523809821,1.3928099017384652,0.4836309523809821,-0.12966775162944577,
SMA (w=3),Linear Regression,1.1541673371285153,1.8662131519274094,1.1195487123420764,1.8662131519274094,0.49196175822849086,
SMA (w=7),Persistence,3.0714836652538273,0.4038407029478708,2.2925777453838565,0.4038407029478708,-0.802364115157342,
SMA (w=7),Linear Regression,2.1360390061104173,1.4423489633948536,1.7107997535748893,1.4423489633948536,0.1283051700561597,
SMA (w=14),Persistence,3.1012220702277804,1.8541666666666856,2.4191468253968145,1.8541666666666856,-0.7243025929805582,
SMA (w=14),Linear Regression,2.3062677180295057,0.613591269841244,1.8439929543245763,0.613591269841244,0.046397920918181734,
EWMA (span=3),Persistence,1.5450743345221938,0.7860150293713518,1.111054868141478,0.7860150293713518,0.09379756887492563,
EWMA (span=3),Linear Regression,1.2735021253862653,1.4218121384911644,1.0496887526652263,1.4218121384911644,0.3843614391668665,
EWMA (span=7),Persistence,1.0897788240057584,0.3522689443108613,0.7423181274578373,0.3522689443108613,0.36654124706511204,
EWMA (span=7),Linear Regression,0.830527499416172,1.3469043264528673,0.696175809280345,1.3469043264528673,0.6320831774852274,
EWMA (span=14),Persistence,0.93934901579105,0.3194228010686617,0.6246602538473935,0.3194228010686617,0.4455424608904994,
EWMA (span=14),Linear Regression,0.6774372009459649,1.1510064948974619,0.5767292823535451,1.1510064948974619,0.7116284528062595,
