datetime,value
2023-01-10,106.09375
2023-01-11,103.30208333333333
2023-01-12,106.03125
2023-01-13,102.45833333333333
2023-01-14,104.1875
2023-01-15,106.46875
2023-01-16,105.07291666666667
2023-01-17,99.33333333333333
2023-01-18,102.61458333333333
2023-01-19,101.80208333333333
2023-01-20,104.5
2023-01-21,105.57291666666667
2023-01-22,103.25
2023-01-23,102.90625
2023-01-24,102.96875
2023-01-25,105.08333333333333
2023-01-26,105.27083333333333
2023-01-27,104.11458333333333
2023-01-28,104.375
2023-01-29,105.09375
2023-01-30,104.40625
2023-01-31,105.21875
2023-02-01,104.78125
2023-02-02,103.19791666666667
2023-02-03,101.90625
2023-02-04,103.11458333333333
2023-02-05,104.85416666666667
2023-02-06,106.36458333333333
2023-02-07,102.70833333333333
2023-02-08,104.78125
2023-02-09,105.40625
2023-02-10,120.40625
2023-02-11,118.16666666666667
2023-02-12,112.70833333333333
2023-02-13,109.15625
2023-02-14,112.1875
2023-02-15,113.91666666666667
2023-02-16,111.59375
2023-02-17,111.27083333333333
2023-02-18,117.65625
2023-02-19,114.10416666666667
2023-02-20,110.16666666666667
2023-02-21,112.95833333333333
2023-02-22,119.94791666666667
2023-02-23,111.20833333333333
2023-02-24,112.69791666666667
2023-02-25,114.03125
2023-02-26,115.79166666666667
2023-02-27,109.47916666666667
2023-02-28,113.67708333333333
2023-03-01,112.51041666666667
2023-03-02,114.16666666666667
2023-03-03,115.67708333333333
2023-03-04,115.625
2023-03-05,114.40625
2023-03-06,108.48958333333333
2023-03-07,117.58333333333333
2023-03-08,118.04166666666667
2023-03-09,114.86458333333333
2023-03-10,116.14583333333333
2023-03-11,116.33333333333333
2023-03-12,115.80208333333333
