Configuration,Model,MSE,MAE,R2
Daily_Mean,Persistence,10.132458424707616,2.6885964912280715,-0.33424231593854414
Daily_Mean,LinearRegression,14.018885019989698,3.134521352455392,-1.2222724629804875
Weekly_Mean,Persistence,2.5967623594576774,1.42609126984127,-3.6121531349719724
Weekly_Mean,LinearRegression,4.949084897991026,2.016664534291813,-6.063474740383138
Weekly_Sum,Persistence,1172656.3333333333,958.3333333333334,-3.612153134972
Weekly_Sum,LinearRegression,4457490.181548673,2028.0956061547986,-13.08787020341309
