Configuration,Model,MSE,MAE,R2
Daily_Mean,Persistence,3.664946630509118,1.4910149442755825,-0.009698348360225317
Daily_Mean,LinearRegression,3.7111235187508274,1.5292682619242342,-0.0006760608733267226
Weekly_Mean,Persistence,3.664946630509118,1.4910149442755825,-0.009698348360225317
Weekly_Mean,LinearRegression,3.7111235187508274,1.5292682619242342,-0.0006760608733267226
Weekly_Sum,Persistence,136.37608297872342,10.058936170212766,-0.027953266992819303
Weekly_Sum,LinearRegression,133.51869338741847,9.380267971168998,0.007623279123481375
