model,params,accuracy,precision,recall,f1
GradientBoosting,"d=2, lr=0.1, n=500",0.8481175945980379,0.817630758572913,0.9384886263595832,0.8739009136465206
RandomForest,"d=7, f=0.9, n=100",0.8433717671040897,0.8048481645204689,0.9513815920256724,0.8720017699806083
MLP,"hidden=(50, 25), lr=0.01",0.8432443623391515,0.8075748023859173,0.9458438644818676,0.8712576025112811
DecisionTree,"max_depth=8, criterion=entropy",0.842002165881004,0.8066440349175558,0.9447079203703178,0.8702339999738401
LogisticRegression,"C=0.01, penalty=l1",0.8324149573194037,0.7843421779988944,0.9670576207650584,0.866168970735988
KNN,"k=23, metric=manhattan",0.8364759842018091,0.8019610216680789,0.940703717377105,0.8658093520478841
NaiveBayes (GaussianNB),GaussianNB,0.8212670403873105,0.7586467138174918,0.9991480419163378,0.862444692299207
