model,params,accuracy,precision,recall,f1,dataset
LogisticRegression,"C=0.01, penalty=l1",0.8324149573194037,0.7843421779988944,0.9670576207650584,0.866168970735988,Traffic Accidents
LogisticRegression,"C=0.001, penalty=l1",0.9701675521046179,0.0,0.0,0.0,Flights
