model,params,accuracy,precision,recall,f1,dataset
KNN,"k=23, metric=manhattan",0.8364759842018091,0.8019610216680789,0.940703717377105,0.8658093520478841,Traffic Accidents
KNN,"k=5, metric=manhattan",0.9699223539027381,0.4117647058823529,0.019178082191780823,0.03664921465968586,Flights
