model,params,accuracy,precision,recall,f1,dataset
MLP,"hidden=(50, 25), lr=0.01",0.8432443623391515,0.8075748023859173,0.9458438644818675,0.8712576025112811,Traffic Accidents
MLP,"hidden=(100,), lr=0.1",0.9703310175725378,1.0,0.005479452054794521,0.010899182561307902,Flights
