model,params,accuracy,precision,recall,f1,dataset
GradientBoosting,"d=2, lr=0.1, n=500",0.8481175945980379,0.817630758572913,0.9384886263595831,0.8739009136465206,Traffic Accidents
GradientBoosting,"d=2, lr=0.1, n=100",0.9701675521046179,0.5,0.0027397260273972603,0.005449591280653951,Flights
