model,accuracy,precision,recall,f1
NaiveBayes (GaussianNB),0.8212670403873105,0.7586467138174918,0.9991480419163378,0.862444692299207
KNN,0.9031991690522736,0.6115068266235131,0.4813107627981415,0.4537380093572754
MLP,0.9067876899558447,0.9037874011929586,0.47566165826833107,0.44107839253629455
GradientBoosting,0.909142573351328,0.6588153792864565,0.4706141761934902,0.43967525246358724
RandomForest,0.9067696596043539,0.40242408226023446,0.4756907960128362,0.43600088499030415
DecisionTree,0.906084858992811,0.4033220174587779,0.4723539601851589,0.43511699998692005
LogisticRegression,0.9012912547120109,0.3921710889994472,0.4835288103825292,0.433084485367994
NaiveBayes (BernoulliNB),0.970167552104618,0.0,0.0,0.0
