Model,Parameters,R2,MSE,MAE,RMSE
Simple Exponential Smoothing,{'alpha': 0.1},-5.187892401337102e-05,0.04187089405793985,0.16058976042146894,0.20462378663767283
Holt Linear Trend,"{'alpha': 0.1, 'beta': 0.1}",-0.0003199262670781078,0.04188211685761706,0.16064805436552043,0.2046512078088401
Holt-Winters,"{'alpha': 0.2, 'beta': 0.1, 'gamma': 0.1, 'seasonal': 'add', 'period': 24}",-1.3408338819818364,0.0980077229444862,0.2650532068470779,0.31306185162757566
