Cancelled,CRSElapsedTime,Distance,Quarter,DayofMonth,OriginAirportID,OriginWac,DestAirportID,DestWac,DistanceGroup,CRSDepTime_sin,CRSDepTime_cos,CRSArrTime_sin,CRSArrTime_cos,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,Airline_Alaska Airlines Inc.,Airline_Allegiant Air,Airline_American Airlines Inc.,Airline_Capital Cargo International,Airline_Comair Inc.,"Airline_Commutair Aka Champlain Enterprises, Inc.",Airline_Delta Air Lines Inc.,Airline_Endeavor Air Inc.,Airline_Envoy Air,Airline_Frontier Airlines Inc.,"Airline_GoJet Airlines, LLC d/b/a United Express",Airline_Horizon Air,Airline_JetBlue Airways,Airline_Mesa Airlines Inc.,Airline_Other,Airline_Republic Airlines,Airline_SkyWest Airlines Inc.,Airline_Southwest Airlines Co.,Airline_Spirit Air Lines,Airline_United Air Lines Inc.,OriginStateName_Arizona,OriginStateName_California,OriginStateName_Colorado,OriginStateName_Florida,OriginStateName_Georgia,OriginStateName_Illinois,OriginStateName_Kentucky,OriginStateName_Maryland,OriginStateName_Massachusetts,OriginStateName_Michigan,OriginStateName_Minnesota,OriginStateName_Missouri,OriginStateName_Nevada,OriginStateName_New Jersey,OriginStateName_New York,OriginStateName_North Carolina,OriginStateName_Ohio,OriginStateName_Other,OriginStateName_Pennsylvania,OriginStateName_South Carolina,OriginStateName_Tennessee,OriginStateName_Texas,OriginStateName_Utah,OriginStateName_Virginia,OriginStateName_Washington,DestStateName_Arizona,DestStateName_California,DestStateName_Colorado,DestStateName_Florida,DestStateName_Georgia,DestStateName_Hawaii,DestStateName_Illinois,DestStateName_Kentucky,DestStateName_Louisiana,DestStateName_Maryland,DestStateName_Massachusetts,DestStateName_Michigan,DestStateName_Minnesota,DestStateName_Missouri,DestStateName_Nevada,DestStateName_New Jersey,DestStateName_New York,DestStateName_North Carolina,DestStateName_Ohio,DestStateName_Oregon,DestStateName_Other,DestStateName_Pennsylvania,DestStateName_Tennessee,DestStateName_Texas,DestStateName_Utah,DestStateName_Virginia,DestStateName_Washington
1,73.0,224.0,1,1,13930,41,15380,43,1,0.5000000000000002,0.13397459621556118,0.11746243451632887,0.5297580989425178,0.21816851753197009,1.6234898018587334,1.5,1.8660254037844388,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,174.0,936.0,1,16,11057,36,11298,74,4,0.3211992544670582,1.7343225094356856,0.7640097805574861,1.9717554303051124,0.9999999999999998,2.0,1.5,1.8660254037844388,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,273.0,2077.0,1,28,14679,91,11057,36,9,0.4663854840843885,0.15427217829602669,0.3870929463470235,1.7901550123756902,0.02507208781817638,0.7774790660436854,1.5,1.8660254037844388,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,119.0,569.0,1,3,11193,52,11618,21,3,1.9659258262890682,0.7411809548974794,1.778790853270304,0.37271632664119847,0.5661162608824419,0.09903113209758085,1.8660254037844386,1.5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,58.0,125.0,2,22,11292,82,10372,82,1,1.6190939493098342,0.21468306911925528,1.3995492028781202,0.08328824896838005,0.02507208781817638,0.7774790660436854,1.8660254037844388,0.5000000000000002,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,131.0,833.0,1,27,12451,33,12953,22,4,1.205350196810764,0.021311440411312166,0.6612620797547089,0.059119231045774434,0.9999999999999998,2.0,1.8660254037844386,1.5,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,63.0,88.0,1,16,10868,37,11057,36,1,0.0004146318062603349,1.0287939523682632,0.04420698520166988,1.2940403252323038,0.9999999999999998,2.0,1.5,1.8660254037844388,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,141.0,717.0,1,12,13931,38,13930,41,3,0.6934739219020722,0.048137739246952194,0.412214747707527,0.19098300562505255,0.21816851753197009,1.6234898018587334,2.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,143.0,599.0,2,6,11057,36,13930,41,3,0.8954715367323465,0.00547810463172671,0.49321374348917624,0.13792825692304156,0.02507208781817638,0.7774790660436854,1.5,0.1339745962155613,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,117.0,569.0,2,3,11193,52,11618,21,3,0.8850628495071335,0.006627234399603554,0.4100987628956395,0.19252459451526016,0.02507208781817638,0.7774790660436854,1.0000000000000002,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,145.0,802.0,1,2,13204,33,11066,44,4,1.7071067811865475,0.29289321881345254,1.1950903220161282,0.01921471959676957,1.4338837391175583,0.09903113209758097,1.8660254037844386,1.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,66.0,214.0,2,20,10397,34,10693,54,1,0.26567749056431444,0.3211992544670583,0.2551059434083782,0.3328172330954,0.02507208781817638,0.7774790660436854,1.5,0.1339745962155613,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,91.0,264.0,1,4,14576,22,12478,22,2,1.9939609554551798,1.1097343110910454,1.9435121640281936,0.6686621115374292,1.9749279121818235,0.7774790660436857,1.5,1.8660254037844388,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,316.0,2585.0,1,8,14771,91,13303,33,11,0.34065418489993127,1.7518398074789774,1.9880944998464434,1.15384816987279,0.21816851753197009,1.6234898018587334,1.5,1.8660254037844388,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,73.0,223.0,1,21,13487,63,11637,66,1,0.22285403854302888,0.37067960895016294,0.07314340435987932,0.6245844287747168,1.78183148246803,1.6234898018587336,1.8660254037844386,1.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,110.0,647.0,1,6,14893,91,14107,81,3,1.9876883405951378,1.156434465040231,1.824126188622016,0.4335937630751674,0.5661162608824419,0.09903113209758085,1.5,1.8660254037844388,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,135.0,853.0,2,24,11292,82,14679,91,4,0.07612046748871315,0.6173165676349105,8.567242599299973e-05,1.0130895955713444,0.02507208781817638,0.7774790660436854,1.0000000000000002,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,232.0,1749.0,2,7,12889,85,11433,43,7,0.593263356924199,1.9135454576426005,1.9841956079692418,1.1770847403195834,0.5661162608824419,0.09903113209758085,1.8660254037844388,0.5000000000000002,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,85.0,391.0,1,8,12892,91,14570,85,2,0.006931543045073818,0.8824626025421616,0.04894348370484636,1.3090169943749472,0.21816851753197009,1.6234898018587334,1.5,1.8660254037844388,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,199.0,1047.0,1,27,12953,22,14986,33,5,0.2447181877148168,0.34459982908820563,0.007242658070554353,1.1201368388346464,0.9999999999999998,2.0,1.8660254037844386,1.5,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,105.0,550.0,2,9,14771,91,14057,92,3,0.6416320504547,0.06641957350279815,0.24816019252102273,0.34065418489993093,0.21816851753197009,1.6234898018587334,1.8660254037844388,0.5000000000000002,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,146.0,940.0,2,30,11057,36,13851,73,4,0.05735850890782157,1.3338068592337708,0.21630654267416016,1.6211477802783103,0.5661162608824419,0.09903113209758085,1.0000000000000002,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,82.0,287.0,1,19,14100,23,10361,22,2,0.8668786614734476,0.008900252634025163,0.4708209990258092,0.15148978501849653,0.21816851753197009,1.6234898018587334,1.8660254037844386,1.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,90.0,277.0,1,18,14576,22,10821,35,2,2.0,1.0,1.9426414910921783,0.6661931407662289,1.9749279121818235,0.7774790660436857,1.5,1.8660254037844388,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,89.0,399.0,2,15,11278,38,10721,13,2,0.5694889031917048,1.9025852843498607,0.8928682456861257,1.9942448326331053,0.02507208781817638,0.7774790660436854,1.8660254037844388,0.5000000000000002,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,86.0,209.0,2,27,12478,22,15096,22,1,0.17587381137798463,1.5664062369248333,0.40377512503438384,1.8028174751911141,0.02507208781817638,0.7774790660436854,1.5,0.1339745962155613,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,73.0,230.0,1,8,11292,82,11122,88,1,1.2079116908177596,0.021852399266194422,0.9137136342020769,0.0037296235070587436,1.9749279121818235,0.7774790660436857,1.8660254037844386,1.5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,198.0,1188.0,1,24,11298,74,13891,91,5,1.4067366430758004,0.08645454235739924,1.1097343110910451,0.006039044544820293,0.5661162608824419,0.09903113209758085,1.8660254037844386,1.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,70.0,223.0,3,27,12889,85,10800,91,1,0.010348613180329758,0.8565073780088206,0.010348613180329758,1.143492621991179,1.4338837391175583,0.09903113209758097,0.5000000000000002,0.13397459621556118,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,157.0,1119.0,1,4,11298,74,11697,33,5,0.42285480996276614,0.1833584448383212,0.0004934396342684,1.0314107590781278,0.02507208781817638,0.7774790660436854,1.8660254037844386,1.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,200.0,1436.0,2,20,11292,82,14492,36,6,0.016745092436045272,0.8177644745078531,0.6173165676349104,1.923879532511287,0.02507208781817638,0.7774790660436854,1.5,0.1339745962155613,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,88.0,290.0,1,16,13931,38,11057,36,2,0.24816019252102273,0.34065418489993093,0.07314340435987932,0.6245844287747168,0.9999999999999998,2.0,1.5,1.8660254037844388,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,120.0,591.0,1,17,10397,34,13232,41,3,1.7071067811865475,0.29289321881345254,1.5000000000000004,0.13397459621556151,1.78183148246803,1.6234898018587336,1.5,1.8660254037844388,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,171.0,1035.0,1,29,14027,33,12953,22,5,1.1616038211033615,0.013144283593192752,0.4357532589695261,0.17439378924544824,0.21816851753197009,1.6234898018587334,1.5,1.8660254037844388,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,92.0,296.0,1,7,12953,22,13931,38,2,1.0000000000000002,0.0,0.6612620797547089,0.059119231045774434,1.78183148246803,1.6234898018587336,2.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,72.0,255.0,1,6,13487,63,12343,63,2,0.2430049443482437,0.3465793960098944,0.08645454235739947,0.5932633569241991,0.5661162608824419,0.09903113209758085,1.5,1.8660254037844388,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,86.0,319.0,2,22,11278,38,12323,36,2,8.567242599299973e-05,1.0130895955713444,0.05823564260306957,1.3362735421301337,0.9999999999999998,2.0,1.5,0.1339745962155613,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,47.0,89.0,1,3,11298,74,10155,74,1,1.1460830285624115,0.010727667037011668,0.918931252651861,0.0032914878444131324,0.5661162608824419,0.09903113209758085,1.8660254037844386,1.5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,165.0,888.0,1,28,13930,41,11292,82,4,0.8565073780088209,0.010348613180329758,0.412214747707527,0.19098300562505255,0.02507208781817638,0.7774790660436854,1.5,1.8660254037844388,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,111.0,458.0,1,4,12280,83,11292,82,2,1.9659258262890682,0.7411809548974794,1.7917568896399974,0.38916366536723024,1.9749279121818235,0.7774790660436857,1.5,1.8660254037844388,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
