Date,value
2010-03-29,-0.47499999999999964
2010-04-26,6.859999999999999
2010-05-31,-4.975
2010-06-28,-1.8699999999999992
2010-07-26,1.5199999999999987
2010-08-30,-3.65
2010-09-27,9.09
2010-10-25,-4.55
2010-11-29,0.6200000000000001
2010-12-27,-1.415000000000001
2011-01-31,-3.799999999999999
2011-02-28,0.8199999999999994
2011-03-28,4.0
2011-04-25,0.6449999999999996
2011-05-30,-0.01999999999999913
2011-06-27,-2.825000000000001
2011-07-25,3.9400000000000004
2011-08-29,-1.1850000000000005
2011-09-26,-9.18
2011-10-31,8.48
2011-11-28,5.844999999999999
2011-12-26,-10.319999999999999
2012-01-30,1.7449999999999997
2012-02-27,8.75
2012-03-26,-11.155000000000001
2012-04-30,5.120000000000001
2012-05-28,1.544999999999999
2012-06-25,-4.614999999999999
2012-08-27,4.38
2012-09-24,-3.8150000000000004
2012-10-29,0.6700000000000008
2012-11-26,1.879999999999999
2012-12-31,-4.81
2013-01-28,4.1899999999999995
2013-02-25,7.09
2013-03-25,-10.760000000000002
2013-04-29,4.590000000000001
2013-05-27,1.3599999999999994
2013-06-24,-5.37
2013-07-29,0.910000000000001
2013-08-26,1.3399999999999994
2013-09-30,2.34
2013-10-28,-5.05
2013-11-25,7.41
2013-12-30,-4.040000000000001
2014-01-27,2.5100000000000007
2014-02-24,-3.1450000000000005
2014-03-31,0.45999999999999996
2014-04-28,-3.445
2014-05-26,5.08
2014-06-30,-1.1600000000000001
2014-07-28,2.3199999999999994
2014-09-29,0.5500000000000003
2014-10-27,-7.809999999999999
2014-11-24,3.8249999999999993
2014-12-29,2.5749999999999993
2015-01-26,-4.8149999999999995
2015-02-23,3.1950000000000003
2015-03-30,2.3200000000000003
2015-04-27,-5.380000000000001
2015-05-25,8.46
2015-06-29,-6.12
2015-07-27,-1.0500000000000016
2015-08-31,1.6450000000000014
2015-09-28,-2.0900000000000003
2015-10-26,0.1200000000000001
2015-11-30,7.91
2015-12-28,-4.139999999999999
2016-01-25,-1.6900000000000013
2016-02-29,-2.715
2016-03-28,3.7249999999999996
2016-04-25,1.33
2016-08-29,-7.114999999999999
2016-09-26,7.34
2016-10-31,-7.0200000000000005
2016-12-26,5.2250000000000005
2017-01-30,-3.2800000000000002
2017-02-27,2.965
2017-03-27,7.209999999999999
2017-04-24,-11.329999999999998
2017-05-29,5.975
2017-06-26,-2.95
2017-08-28,-1.165
2017-09-25,1.5350000000000001
2017-10-30,-0.7000000000000002
2017-11-27,2.6049999999999995
2017-12-25,-2.999999999999999
2018-01-29,-2.9000000000000004
2018-02-26,9.455
2018-03-26,-6.29
2018-04-30,5.034999999999999
2018-05-28,-5.844999999999999
2018-07-30,-4.41
2018-08-27,10.575
2018-09-24,-2.119999999999999
2018-10-29,-6.845000000000001
2018-11-26,7.890000000000001
2018-12-31,-5.595000000000001
2019-01-28,5.9350000000000005
2019-02-25,-1.04
2019-03-25,-4.635000000000001
2019-04-29,2.985000000000001
2019-05-27,-5.0200000000000005
2019-06-24,6.824999999999999
2019-07-29,-2.6099999999999994
2019-08-26,-2.4300000000000006
2019-09-30,1.2500000000000009
2019-10-28,2.0149999999999997
2019-11-25,-5.67
2019-12-30,8.645
2020-01-27,-3.2949999999999995
2020-02-24,1.1199999999999992
2020-03-30,-5.475
2020-04-27,2.3200000000000003
2020-05-25,2.0100000000000002
2020-06-29,2.1500000000000004
2020-07-27,0.8049999999999993
2020-08-31,-5.56
2020-09-28,2.5950000000000006
2020-10-26,-1.5300000000000002
2020-11-30,3.2799999999999994
2020-12-28,-4.449999999999999
2021-02-22,1.2599999999999998
2021-03-29,1.5199999999999996
2021-04-26,-3.2499999999999996
2021-05-31,5.385
2021-06-28,-5.66
2021-07-26,5.305
2021-08-30,-5.5200000000000005
2021-09-27,3.4300000000000006
2021-10-25,2.5700000000000003
2021-11-29,-0.33000000000000007
2021-12-27,-6.115000000000001
2022-01-31,5.590000000000002
2022-02-28,-4.050000000000002
2022-03-28,2.620000000000001
2022-04-25,0.16999999999999993
2022-06-27,-0.8849999999999998
2022-07-25,3.5649999999999977
2022-08-29,-6.1249999999999964
2022-09-26,-1.140000000000002
2022-10-31,5.23
2022-11-28,-2.405
2023-01-30,-0.7650000000000006
2023-02-27,2.5
2023-03-27,3.705
2023-04-24,-2.554999999999999
2023-05-29,-7.6400000000000015
2023-06-26,9.110000000000001
2023-07-31,-4.960000000000001
2023-08-28,2.280000000000002
2023-09-25,1.4699999999999989
2023-10-30,-1.450000000000001
2023-11-27,0.4700000000000024
