Configuration,Model,MSE,MAE,R2
FirstOrder,Persistence,1156.9703247480404,24.470884658454647,-0.0007481331943097747
FirstOrder,LinearRegression,1059.6277336087048,23.023792588216978,0.08178789076758064
SecondOrder,Persistence,7750.658823529412,75.36022408963585,-1.5961827008154836
SecondOrder,LinearRegression,1924.7483834713012,32.53964164696574,0.3552762249958409
Seasonal_Weekly,Persistence,3237.5044843049327,45.36883408071749,-0.5100396870844564
Seasonal_Weekly,LinearRegression,1933.5710961995376,32.70177545317174,0.09829007726661687
